destination_iso_country,Day of date,psg_ranking,psg_wow_change,psg_yoy_change,destination_country,passengers_number_7days
MH,"June 22, 2021",8,,-86.62%,Marshall Islands (the),278
FM,"June 22, 2021",5,396.43%,-84.25%,Micronesia (Federated States of),556
FJ,"June 22, 2021",2,21.92%,-85.63%,Fiji,4289
WS,"June 23, 2021",7,-45.39%,-93.89%,Samoa,302
VU,"June 23, 2021",3,25.36%,-64.55%,Vanuatu,2600
TO,"June 23, 2021",6,0.00%,-89.89%,Tonga,302
SB,"June 23, 2021",4,55.41%,-79.89%,Solomon Islands,488
PW,"June 23, 2021",10,-65.43%,-94.27%,Palau,112
PG,"June 23, 2021",1,0.65%,71.49%,Papua New Guinea,35866
NR,"June 23, 2021",9,0.00%,-75.10%,Nauru,128
MH,"June 23, 2021",8,,-85.60%,Marshall Islands (the),278
FM,"June 23, 2021",5,40.29%,-87.96%,Micronesia (Federated States of),390
FJ,"June 23, 2021",2,19.59%,-85.89%,Fiji,4230
WS,"June 24, 2021",7,-45.39%,-93.86%,Samoa,302
VU,"June 24, 2021",3,21.27%,-63.54%,Vanuatu,2600
TO,"June 24, 2021",6,0.00%,-90.35%,Tonga,302
SB,"June 24, 2021",4,55.41%,-77.72%,Solomon Islands,488
PW,"June 24, 2021",10,-29.11%,-94.47%,Palau,112
PG,"June 24, 2021",1,-2.47%,63.96%,Papua New Guinea,35280
NR,"June 24, 2021",8,0.00%,-75.10%,Nauru,128
MH,"June 24, 2021",9,-32.53%,-92.99%,Marshall Islands (the),112
FM,"June 24, 2021",5,40.29%,-87.30%,Micronesia (Federated States of),390
FJ,"June 24, 2021",2,17.32%,-85.13%,Fiji,4470
WS,"June 25, 2021",6,-45.39%,-93.80%,Samoa,302
VU,"June 25, 2021",3,9.06%,-64.94%,Vanuatu,2600
TO,"June 25, 2021",5,0.00%,-91.29%,Tonga,302
SB,"June 25, 2021",4,55.41%,-79.09%,Solomon Islands,488
PW,"June 25, 2021",7,72.15%,-87.50%,Palau,272
PG,"June 25, 2021",1,-2.84%,65.80%,Papua New Guinea,35356
NR,"June 25, 2021",9,0.00%,-80.00%,Nauru,128
MH,"June 25, 2021",10,-32.53%,-93.16%,Marshall Islands (the),112
FM,"June 25, 2021",8,-49.55%,-92.93%,Micronesia (Federated States of),224
FJ,"June 25, 2021",2,-5.41%,-85.96%,Fiji,4178
WS,"June 26, 2021",7,-45.39%,-93.85%,Samoa,302
VU,"June 26, 2021",3,9.06%,-63.65%,Vanuatu,2600
TO,"June 26, 2021",6,0.00%,-91.20%,Tonga,302
SB,"June 26, 2021",4,55.41%,-80.08%,Solomon Islands,488
PW,"June 26, 2021",8,72.15%,-87.59%,Palau,272
PG,"June 26, 2021",1,-2.85%,60.02%,Papua New Guinea,35422
NR,"June 26, 2021",9,0.00%,-75.10%,Nauru,128
MH,"June 26, 2021",10,-32.53%,-93.16%,Marshall Islands (the),112
FM,"June 26, 2021",5,-12.16%,-88.30%,Micronesia (Federated States of),390
FJ,"June 26, 2021",2,1.10%,-85.94%,Fiji,4209
WS,"June 27, 2021",5,-28.21%,-92.02%,Samoa,397
VU,"June 27, 2021",3,9.06%,-63.65%,Vanuatu,2600
TO,"June 27, 2021",6,0.00%,-91.22%,Tonga,302
SB,"June 27, 2021",4,55.41%,-80.08%,Solomon Islands,488
PW,"June 27, 2021",8,-40.74%,-92.16%,Palau,160
PG,"June 27, 2021",1,-4.64%,60.45%,Papua New Guinea,35306
NR,"June 27, 2021",9,0.00%,-75.10%,Nauru,128
MH,"June 27, 2021",10,-32.53%,-92.59%,Marshall Islands (the),112
FM,"June 27, 2021",7,-50.00%,-91.93%,Micronesia (Federated States of),278
FJ,"June 27, 2021",2,6.13%,-84.96%,Fiji,4503
WS,"June 28, 2021",5,-24.77%,-91.55%,Samoa,416
VU,"June 28, 2021",3,9.06%,-62.92%,Vanuatu,2600
TO,"June 28, 2021",6,0.00%,-91.22%,Tonga,302
SB,"June 28, 2021",4,55.41%,-80.87%,Solomon Islands,488
PW,"June 28, 2021",8,-40.74%,-92.61%,Palau,160
PG,"June 28, 2021",1,-2.68%,60.54%,Papua New Guinea,35737
NR,"June 28, 2021",9,0.00%,-75.10%,Nauru,128
FM,"June 28, 2021",7,-50.00%,-91.67%,Micronesia (Federated States of),278
FJ,"June 28, 2021",2,5.22%,-85.08%,Fiji,4595
WS,"June 29, 2021",4,37.75%,-91.55%,Samoa,416
VU,"June 29, 2021",3,11.46%,-61.23%,Vanuatu,2664
SB,"June 29, 2021",5,-35.66%,-87.69%,Solomon Islands,314
PW,"June 29, 2021",7,42.86%,-93.09%,Palau,160
PG,"June 29, 2021",1,0.86%,63.30%,Papua New Guinea,36460
NR,"June 29, 2021",8,0.00%,-75.10%,Nauru,128
FM,"June 29, 2021",6,-50.00%,-90.76%,Micronesia (Federated States of),278
FJ,"June 29, 2021",2,9.12%,-84.81%,Fiji,4680
WS,"June 30, 2021",4,137.75%,-85.84%,Samoa,718
VU,"June 30, 2021",3,2.46%,-61.79%,Vanuatu,2664
TO,"June 30, 2021",5,83.11%,-84.72%,Tonga,553
SB,"June 30, 2021",7,-35.66%,-87.37%,Solomon Islands,314
PW,"June 30, 2021",8,42.86%,-93.29%,Palau,160
PG,"June 30, 2021",1,5.38%,66.17%,Papua New Guinea,37796
NR,"June 30, 2021",9,0.00%,-75.10%,Nauru,128
FM,"June 30, 2021",6,13.85%,-86.02%,Micronesia (Federated States of),444
FJ,"June 30, 2021",2,18.53%,-84.11%,Fiji,5014
WS,"July 1, 2021",4,137.75%,-85.84%,Samoa,718
VU,"July 1, 2021",3,2.46%,-63.22%,Vanuatu,2664
TO,"July 1, 2021",5,83.11%,-84.57%,Tonga,553
SB,"July 1, 2021",7,-35.66%,-88.47%,Solomon Islands,314
PW,"July 1, 2021",9,42.86%,-93.07%,Palau,160
PG,"July 1, 2021",1,8.89%,69.41%,Papua New Guinea,38416
NR,"July 1, 2021",10,0.00%,-75.10%,Nauru,128
MH,"July 1, 2021",8,48.21%,-87.15%,Marshall Islands (the),166
FM,"July 1, 2021",6,13.85%,-85.78%,Micronesia (Federated States of),444
FJ,"July 1, 2021",2,-2.26%,-86.48%,Fiji,4369
WS,"July 2, 2021",6,37.75%,-91.93%,Samoa,416
VU,"July 2, 2021",3,2.46%,-62.72%,Vanuatu,2664
TO,"July 2, 2021",4,83.11%,-84.59%,Tonga,553
SB,"July 2, 2021",7,-35.66%,-87.69%,Solomon Islands,314
PG,"July 2, 2021",1,8.70%,66.43%,Papua New Guinea,38432
MH,"July 2, 2021",8,48.21%,-85.26%,Marshall Islands (the),166
FM,"July 2, 2021",5,98.21%,-86.34%,Micronesia (Federated States of),444
FJ,"July 2, 2021",2,4.57%,-86.56%,Fiji,4369
WS,"July 3, 2021",5,37.75%,-91.78%,Samoa,416
VU,"July 3, 2021",3,9.00%,-61.75%,Vanuatu,2834
TO,"July 3, 2021",4,83.11%,-85.11%,Tonga,553
SB,"July 3, 2021",7,-35.66%,-87.69%,Solomon Islands,314
PG,"July 3, 2021",1,10.72%,73.41%,Papua New Guinea,39221
MH,"July 3, 2021",8,48.21%,-83.69%,Marshall Islands (the),166
FM,"July 3, 2021",6,-14.87%,-89.04%,Micronesia (Federated States of),332
FJ,"July 3, 2021",2,11.24%,-85.73%,Fiji,4682
WS,"July 4, 2021",6,-19.14%,-94.63%,Samoa,321
VU,"July 4, 2021",3,15.54%,-60.00%,Vanuatu,3004
TO,"July 4, 2021",4,83.11%,-85.44%,Tonga,553
SB,"July 4, 2021",7,-35.66%,-87.69%,Solomon Islands,314
PW,"July 4, 2021",9,-30.00%,-95.00%,Palau,112
PG,"July 4, 2021",1,14.65%,77.86%,Papua New Guinea,40477
MH,"July 4, 2021",8,48.21%,-83.69%,Marshall Islands (the),166
FM,"July 4, 2021",5,79.14%,-82.28%,Micronesia (Federated States of),498
FJ,"July 4, 2021",2,0.80%,-86.34%,Fiji,4539
WS,"July 5, 2021",8,-27.40%,-95.63%,Samoa,302
VU,"July 5, 2021",3,15.54%,-61.09%,Vanuatu,3004
TO,"July 5, 2021",4,83.11%,-85.43%,Tonga,553
SB,"July 5, 2021",7,-35.66%,-87.54%,Solomon Islands,314
PW,"July 5, 2021",9,-30.00%,-94.96%,Palau,112
PG,"July 5, 2021",1,13.50%,80.78%,Papua New Guinea,40563
MH,"July 5, 2021",6,,-67.39%,Marshall Islands (the),332
FM,"July 5, 2021",5,79.14%,-82.28%,Micronesia (Federated States of),498
FJ,"July 5, 2021",2,-3.22%,-86.85%,Fiji,4447
WS,"July 6, 2021",8,-27.40%,-95.91%,Samoa,302
VU,"July 6, 2021",3,-1.28%,-66.48%,Vanuatu,2630
TO,"July 6, 2021",4,,-77.44%,Tonga,855
SB,"July 6, 2021",7,0.00%,-87.36%,Solomon Islands,314
PW,"July 6, 2021",9,-30.00%,-94.59%,Palau,112
PG,"July 6, 2021",1,11.76%,85.58%,Papua New Guinea,40748
MH,"July 6, 2021",6,,-67.39%,Marshall Islands (the),332
FM,"July 6, 2021",5,79.14%,-80.21%,Micronesia (Federated States of),498
FJ,"July 6, 2021",2,-7.20%,-87.21%,Fiji,4343
VU,"July 7, 2021",3,-6.53%,-68.14%,Vanuatu,2490
TO,"July 7, 2021",7,-45.39%,-92.46%,Tonga,302
SB,"July 7, 2021",6,0.00%,-87.90%,Solomon Islands,314
PW,"July 7, 2021",8,-30.00%,-94.41%,Palau,112
PG,"July 7, 2021",1,6.17%,87.08%,Papua New Guinea,40129
MH,"July 7, 2021",5,,-57.44%,Marshall Islands (the),332
FM,"July 7, 2021",4,12.16%,-79.90%,Micronesia (Federated States of),498
FJ,"July 7, 2021",2,-12.21%,-87.00%,Fiji,4402
WS,"July 8, 2021",8,-57.94%,-96.09%,Samoa,302
VU,"July 8, 2021",3,-3.90%,-65.73%,Vanuatu,2560
TO,"July 8, 2021",7,-45.39%,-92.12%,Tonga,302
SB,"July 8, 2021",6,0.00%,-87.41%,Solomon Islands,314
PW,"July 8, 2021",9,-30.00%,-94.61%,Palau,112
PG,"July 8, 2021",1,6.86%,84.98%,Papua New Guinea,41050
MH,"July 8, 2021",5,100.00%,-45.93%,Marshall Islands (the),332
FM,"July 8, 2021",4,12.16%,-79.90%,Micronesia (Federated States of),498
FJ,"July 8, 2021",2,2.15%,-86.92%,Fiji,4463
WS,"July 9, 2021",4,43.99%,-92.15%,Samoa,599
VU,"July 9, 2021",3,-10.29%,-68.42%,Vanuatu,2390
TO,"July 9, 2021",8,-45.39%,-92.19%,Tonga,302
SB,"July 9, 2021",7,0.00%,-88.15%,Solomon Islands,314
PW,"July 9, 2021",10,,-94.90%,Palau,112
PG,"July 9, 2021",1,6.14%,86.70%,Papua New Guinea,40790
NR,"July 9, 2021",9,,-66.14%,Nauru,128
MH,"July 9, 2021",6,100.00%,-55.14%,Marshall Islands (the),332
FM,"July 9, 2021",5,12.16%,-75.03%,Micronesia (Federated States of),498
FJ,"July 9, 2021",2,9.32%,-86.21%,Fiji,4776
WS,"July 10, 2021",4,43.99%,-92.25%,Samoa,599
VU,"July 10, 2021",3,-15.67%,-67.97%,Vanuatu,2390
TO,"July 10, 2021",8,-45.39%,-91.93%,Tonga,302
SB,"July 10, 2021",7,0.00%,-88.27%,Solomon Islands,314
PW,"July 10, 2021",10,,-94.90%,Palau,112
PG,"July 10, 2021",1,6.55%,80.25%,Papua New Guinea,41790
NR,"July 10, 2021",9,,-66.14%,Nauru,128
MH,"July 10, 2021",6,100.00%,-55.14%,Marshall Islands (the),332
FM,"July 10, 2021",5,50.00%,-75.03%,Micronesia (Federated States of),498
FJ,"July 10, 2021",2,-4.89%,-87.12%,Fiji,4453
WS,"July 11, 2021",4,86.60%,-91.66%,Samoa,599
VU,"July 11, 2021",3,-26.10%,-68.54%,Vanuatu,2220
TO,"July 11, 2021",8,-45.39%,-91.74%,Tonga,302
SB,"July 11, 2021",7,0.00%,-87.64%,Solomon Islands,314
PW,"July 11, 2021",9,48.21%,-91.96%,Palau,166
PG,"July 11, 2021",1,5.02%,84.84%,Papua New Guinea,42508
NR,"July 11, 2021",10,,-66.14%,Nauru,128
MH,"July 11, 2021",6,100.00%,-55.14%,Marshall Islands (the),332
FM,"July 11, 2021",5,0.00%,-73.54%,Micronesia (Federated States of),498
FJ,"July 11, 2021",2,-5.64%,-87.47%,Fiji,4283
WS,"July 12, 2021",4,98.34%,-90.43%,Samoa,599
VU,"July 12, 2021",3,-26.10%,-68.19%,Vanuatu,2220
TO,"July 12, 2021",8,-45.39%,-91.82%,Tonga,302
SB,"July 12, 2021",7,0.00%,-87.29%,Solomon Islands,314
PW,"July 12, 2021",9,48.21%,-91.59%,Palau,166
PG,"July 12, 2021",1,4.97%,85.53%,Papua New Guinea,42578
NR,"July 12, 2021",10,,-66.14%,Nauru,128
MH,"July 12, 2021",6,0.00%,-61.03%,Marshall Islands (the),332
FM,"July 12, 2021",5,0.00%,-73.54%,Micronesia (Federated States of),498
FJ,"July 12, 2021",2,3.96%,-86.51%,Fiji,4623
WS,"July 13, 2021",4,196.69%,-85.01%,Samoa,896
VU,"July 13, 2021",3,-7.83%,-64.92%,Vanuatu,2424
TO,"July 13, 2021",8,-64.68%,-91.44%,Tonga,302
SB,"July 13, 2021",7,0.00%,-88.70%,Solomon Islands,314
PW,"July 13, 2021",9,48.21%,-92.58%,Palau,166
PG,"July 13, 2021",1,4.71%,82.90%,Papua New Guinea,42668
NR,"July 13, 2021",10,,-66.14%,Nauru,128
MH,"July 13, 2021",6,0.00%,-61.03%,Marshall Islands (the),332
FM,"July 13, 2021",5,0.00%,-76.13%,Micronesia (Federated States of),498
FJ,"July 13, 2021",2,7.92%,-86.49%,Fiji,4687
WS,"July 14, 2021",4,,-81.85%,Samoa,1198
VU,"July 14, 2021",3,-3.86%,-64.61%,Vanuatu,2394
TO,"July 14, 2021",8,0.00%,-90.89%,Tonga,302
SB,"July 14, 2021",7,0.00%,-87.62%,Solomon Islands,314
PW,"July 14, 2021",9,48.21%,-92.67%,Palau,166
PG,"July 14, 2021",1,9.05%,83.34%,Papua New Guinea,43762
NR,"July 14, 2021",10,,-74.90%,Nauru,128
MH,"July 14, 2021",6,0.00%,-65.56%,Marshall Islands (the),332
FM,"July 14, 2021",5,-10.84%,-79.80%,Micronesia (Federated States of),444
FJ,"July 14, 2021",2,-1.54%,-87.53%,Fiji,4334
WS,"July 15, 2021",4,196.69%,-86.61%,Samoa,896
VU,"July 15, 2021",3,-8.05%,-66.52%,Vanuatu,2354
TO,"July 15, 2021",6,0.00%,-91.70%,Tonga,302
SB,"July 15, 2021",9,-54.14%,-94.32%,Solomon Islands,144
PW,"July 15, 2021",8,48.21%,-92.44%,Palau,166
PG,"July 15, 2021",1,5.87%,79.44%,Papua New Guinea,43459
NR,"July 15, 2021",10,,-74.90%,Nauru,128
MH,"July 15, 2021",7,-16.27%,-71.16%,Marshall Islands (the),278
FM,"July 15, 2021",5,-10.84%,-79.29%,Micronesia (Federated States of),444
FJ,"July 15, 2021",2,-1.86%,-87.40%,Fiji,4380
WS,"July 16, 2021",4,0.00%,-91.13%,Samoa,599
VU,"July 16, 2021",3,1.42%,-65.19%,Vanuatu,2424
TO,"July 16, 2021",6,0.00%,-91.69%,Tonga,302
SB,"July 16, 2021",9,-54.14%,-94.04%,Solomon Islands,144
PW,"July 16, 2021",8,48.21%,-92.21%,Palau,166
PG,"July 16, 2021",1,8.71%,79.26%,Papua New Guinea,44341
MH,"July 16, 2021",7,-16.27%,-71.34%,Marshall Islands (the),278
FM,"July 16, 2021",5,-10.84%,-81.53%,Micronesia (Federated States of),444
FJ,"July 16, 2021",2,-6.43%,-87.06%,Fiji,4469
WS,"July 17, 2021",4,0.00%,-91.15%,Samoa,599
VU,"July 17, 2021",3,0.17%,-66.43%,Vanuatu,2394
TO,"July 17, 2021",6,0.00%,-91.69%,Tonga,302
SB,"July 17, 2021",9,-54.14%,-93.66%,Solomon Islands,144
PW,"July 17, 2021",8,48.21%,-91.94%,Palau,166
PG,"July 17, 2021",1,5.21%,75.52%,Papua New Guinea,43969
MH,"July 17, 2021",7,-16.27%,-74.21%,Marshall Islands (the),278
FM,"July 17, 2021",5,-10.84%,-80.63%,Micronesia (Federated States of),444
FJ,"July 17, 2021",2,14.13%,-85.34%,Fiji,5082
WS,"July 18, 2021",4,3.17%,-90.40%,Samoa,618
VU,"July 18, 2021",3,7.84%,-68.38%,Vanuatu,2394
TO,"July 18, 2021",6,0.00%,-91.68%,Tonga,302
SB,"July 18, 2021",7,-8.28%,-88.59%,Solomon Islands,288
PW,"July 18, 2021",9,-32.53%,-95.05%,Palau,112
PG,"July 18, 2021",1,1.93%,70.48%,Papua New Guinea,43330
MH,"July 18, 2021",8,-16.27%,-76.91%,Marshall Islands (the),278
FM,"July 18, 2021",5,-10.84%,-82.32%,Micronesia (Federated States of),444
FJ,"July 18, 2021",2,19.73%,-85.04%,Fiji,5128
WS,"July 19, 2021",4,3.17%,-90.80%,Samoa,618
VU,"July 19, 2021",3,7.84%,-68.95%,Vanuatu,2394
TO,"July 19, 2021",7,0.00%,-91.68%,Tonga,302
SB,"July 19, 2021",6,32.48%,-81.82%,Solomon Islands,416
PW,"July 19, 2021",10,-32.53%,-95.39%,Palau,112
PG,"July 19, 2021",1,1.31%,67.27%,Papua New Guinea,43137
NR,"July 19, 2021",9,0.00%,-75.76%,Nauru,128
MH,"July 19, 2021",8,-16.27%,-75.74%,Marshall Islands (the),278
FM,"July 19, 2021",5,-10.84%,-82.79%,Micronesia (Federated States of),444
FJ,"July 19, 2021",2,4.11%,-85.59%,Fiji,4813
WS,"July 20, 2021",6,-64.17%,-95.52%,Samoa,321
VU,"July 20, 2021",3,3.14%,-68.76%,Vanuatu,2500
TO,"July 20, 2021",7,0.00%,-91.68%,Tonga,302
SB,"July 20, 2021",5,32.48%,-79.84%,Solomon Islands,416
PW,"July 20, 2021",10,-32.53%,-94.83%,Palau,112
PG,"July 20, 2021",1,0.66%,66.48%,Papua New Guinea,42948
NR,"July 20, 2021",9,0.00%,-75.76%,Nauru,128
MH,"July 20, 2021",8,-16.27%,-75.74%,Marshall Islands (the),278
FM,"July 20, 2021",4,-10.84%,-82.13%,Micronesia (Federated States of),444
FJ,"July 20, 2021",2,3.69%,-85.44%,Fiji,4860
WS,"July 21, 2021",10,-98.41%,-99.75%,Samoa,19
VU,"July 21, 2021",3,11.53%,-67.58%,Vanuatu,2670
TO,"July 21, 2021",6,0.00%,-92.39%,Tonga,302
SB,"July 21, 2021",5,32.48%,-81.13%,Solomon Islands,416
PW,"July 21, 2021",9,-32.53%,-94.75%,Palau,112
PG,"July 21, 2021",1,-2.06%,65.37%,Papua New Guinea,42861
NR,"July 21, 2021",8,0.00%,-75.48%,Nauru,128
MH,"July 21, 2021",7,-16.27%,-77.10%,Marshall Islands (the),278
FM,"July 21, 2021",4,40.99%,-74.60%,Micronesia (Federated States of),626
FJ,"July 21, 2021",2,23.47%,-84.14%,Fiji,5351
WS,"July 22, 2021",7,-64.17%,-95.96%,Samoa,321
VU,"July 22, 2021",3,9.18%,-69.06%,Vanuatu,2570
TO,"July 22, 2021",8,0.00%,-92.03%,Tonga,302
SB,"July 22, 2021",5,306.94%,-73.41%,Solomon Islands,586
PW,"July 22, 2021",10,-32.53%,-94.82%,Palau,112
PG,"July 22, 2021",1,-1.69%,68.49%,Papua New Guinea,42725
NR,"July 22, 2021",9,0.00%,-75.48%,Nauru,128
MH,"July 22, 2021",6,19.42%,-72.65%,Marshall Islands (the),332
FM,"July 22, 2021",4,40.99%,-77.14%,Micronesia (Federated States of),626
FJ,"July 22, 2021",2,17.12%,-84.91%,Fiji,5130
WS,"July 23, 2021",7,-46.41%,-95.92%,Samoa,321
VU,"July 23, 2021",3,6.02%,-69.56%,Vanuatu,2570
TO,"July 23, 2021",8,0.00%,-91.33%,Tonga,302
SB,"July 23, 2021",5,306.94%,-69.73%,Solomon Islands,586
PW,"July 23, 2021",10,-32.53%,-94.96%,Palau,112
PG,"July 23, 2021",1,-5.55%,60.33%,Papua New Guinea,41879
NR,"July 23, 2021",9,,-49.61%,Nauru,260
MH,"July 23, 2021",6,19.42%,-69.32%,Marshall Islands (the),332
FM,"July 23, 2021",4,78.38%,-72.22%,Micronesia (Federated States of),792
FJ,"July 23, 2021",2,15.28%,-84.64%,Fiji,5152
WS,"July 24, 2021",7,-46.41%,-95.88%,Samoa,321
VU,"July 24, 2021",3,7.35%,-70.09%,Vanuatu,2570
TO,"July 24, 2021",8,0.00%,-91.33%,Tonga,302
SB,"July 24, 2021",5,306.94%,-73.56%,Solomon Islands,586
PW,"July 24, 2021",10,-32.53%,-95.38%,Palau,112
PG,"July 24, 2021",1,-6.21%,60.89%,Papua New Guinea,41237
NR,"July 24, 2021",9,,-59.12%,Nauru,260
MH,"July 24, 2021",6,19.42%,-65.91%,Marshall Islands (the),332
FM,"July 24, 2021",4,128.83%,-65.71%,Micronesia (Federated States of),1016
FJ,"July 24, 2021",2,-6.06%,-85.58%,Fiji,4774
WS,"July 25, 2021",8,-51.13%,-96.14%,Samoa,302
VU,"July 25, 2021",3,7.35%,-70.12%,Vanuatu,2570
TO,"July 25, 2021",7,0.00%,-91.44%,Tonga,302
SB,"July 25, 2021",5,53.47%,-77.49%,Solomon Islands,442
PW,"July 25, 2021",10,0.00%,-94.99%,Palau,112
PG,"July 25, 2021",1,-4.81%,58.10%,Papua New Guinea,41245
NR,"July 25, 2021",9,,-58.73%,Nauru,260
MH,"July 25, 2021",6,19.42%,-60.85%,Marshall Islands (the),332
FM,"July 25, 2021",4,116.67%,-68.16%,Micronesia (Federated States of),962
FJ,"July 25, 2021",2,-7.80%,-86.11%,Fiji,4728
WS,"July 26, 2021",5,-2.27%,-92.01%,Samoa,604
VU,"July 26, 2021",3,16.12%,-68.47%,Vanuatu,2780
TO,"July 26, 2021",7,0.00%,-91.51%,Tonga,302
SB,"July 26, 2021",6,10.10%,-79.19%,Solomon Islands,458
PW,"July 26, 2021",10,0.00%,-94.98%,Palau,112
PG,"July 26, 2021",1,-3.02%,54.71%,Papua New Guinea,41833
NR,"July 26, 2021",9,3.13%,-79.05%,Nauru,132
MH,"July 26, 2021",8,0.00%,-71.46%,Marshall Islands (the),278
FM,"July 26, 2021",4,116.67%,-68.57%,Micronesia (Federated States of),962
FJ,"July 26, 2021",2,-7.56%,-86.81%,Fiji,4449
WS,"July 27, 2021",5,88.16%,-91.36%,Samoa,604
VU,"July 27, 2021",3,15.36%,-66.79%,Vanuatu,2884
SB,"July 27, 2021",6,10.10%,-78.73%,Solomon Islands,458
PW,"July 27, 2021",9,0.00%,-95.67%,Palau,112
PG,"July 27, 2021",1,-2.14%,52.63%,Papua New Guinea,42031
NR,"July 27, 2021",8,3.13%,-79.05%,Nauru,132
MH,"July 27, 2021",7,0.00%,-74.73%,Marshall Islands (the),278
FM,"July 27, 2021",4,116.67%,-68.57%,Micronesia (Federated States of),962
FJ,"July 27, 2021",2,-9.42%,-86.77%,Fiji,4402
WS,"July 28, 2021",5,3078.95%,-89.23%,Samoa,604
VU,"July 28, 2021",3,13.26%,-64.24%,Vanuatu,3024
TO,"July 28, 2021",7,0.00%,-90.07%,Tonga,302
SB,"July 28, 2021",6,10.10%,-79.61%,Solomon Islands,458
PW,"July 28, 2021",10,0.00%,-95.68%,Palau,112
PG,"July 28, 2021",1,-3.75%,47.93%,Papua New Guinea,41252
NR,"July 28, 2021",9,106.25%,-65.17%,Nauru,264
MH,"July 28, 2021",8,0.00%,-75.61%,Marshall Islands (the),278
FM,"July 28, 2021",4,24.60%,-73.72%,Micronesia (Federated States of),780
FJ,"July 28, 2021",2,-16.33%,-86.34%,Fiji,4477
WS,"July 29, 2021",7,-5.92%,-94.19%,Samoa,302
VU,"July 29, 2021",3,20.39%,-61.94%,Vanuatu,3094
TO,"July 29, 2021",6,0.00%,-89.73%,Tonga,302
SB,"July 29, 2021",5,2.73%,-73.20%,Solomon Islands,602
PW,"July 29, 2021",10,0.00%,-95.68%,Palau,112
PG,"July 29, 2021",1,-5.76%,45.10%,Papua New Guinea,40263
NR,"July 29, 2021",8,106.25%,-65.17%,Nauru,264
MH,"July 29, 2021",9,-32.53%,-80.35%,Marshall Islands (the),224
FM,"July 29, 2021",4,45.69%,-69.27%,Micronesia (Federated States of),912
FJ,"July 29, 2021",2,-5.69%,-84.79%,Fiji,4838
WS,"July 30, 2021",7,-5.92%,-94.20%,Samoa,302
VU,"July 30, 2021",3,24.28%,-59.71%,Vanuatu,3194
TO,"July 30, 2021",6,0.00%,-91.29%,Tonga,302
SB,"July 30, 2021",5,2.73%,-77.35%,Solomon Islands,602
PW,"July 30, 2021",10,0.00%,-95.26%,Palau,112
PG,"July 30, 2021",1,-2.50%,48.28%,Papua New Guinea,40833
NR,"July 30, 2021",9,-49.23%,-85.17%,Nauru,132
MH,"July 30, 2021",8,-32.53%,-82.39%,Marshall Islands (the),224
FM,"July 30, 2021",4,-5.81%,-72.69%,Micronesia (Federated States of),746
FJ,"July 30, 2021",2,-13.96%,-86.12%,Fiji,4433
WS,"July 31, 2021",7,-5.92%,-94.23%,Samoa,302
VU,"July 31, 2021",3,18.83%,-61.10%,Vanuatu,3054
TO,"July 31, 2021",6,0.00%,-90.72%,Tonga,302
SB,"July 31, 2021",4,2.73%,-77.85%,Solomon Islands,602
PW,"July 31, 2021",10,0.00%,-95.70%,Palau,112
PG,"July 31, 2021",1,-1.59%,45.32%,Papua New Guinea,40582
NR,"July 31, 2021",9,-49.23%,-82.72%,Nauru,132
MH,"July 31, 2021",8,-32.53%,-80.69%,Marshall Islands (the),224
FM,"July 31, 2021",5,-42.91%,-77.86%,Micronesia (Federated States of),580
FJ,"July 31, 2021",2,-6.58%,-85.95%,Fiji,4460
WS,"August 1, 2021",7,0.00%,-94.18%,Samoa,302
VU,"August 1, 2021",3,25.45%,-58.14%,Vanuatu,3224
TO,"August 1, 2021",6,0.00%,-90.45%,Tonga,302
SB,"August 1, 2021",5,36.20%,-77.39%,Solomon Islands,602
PW,"August 1, 2021",9,48.21%,-93.96%,Palau,166
PG,"August 1, 2021",1,-0.28%,49.62%,Papua New Guinea,41128
NR,"August 1, 2021",10,-49.23%,-82.86%,Nauru,132
MH,"August 1, 2021",8,-32.53%,-80.69%,Marshall Islands (the),224
FM,"August 1, 2021",4,-34.10%,-74.72%,Micronesia (Federated States of),634
FJ,"August 1, 2021",2,-5.67%,-85.75%,Fiji,4460
WS,"August 2, 2021",10,-93.71%,-99.26%,Samoa,38
VU,"August 2, 2021",3,8.42%,-59.73%,Vanuatu,3014
TO,"August 2, 2021",7,0.00%,-90.35%,Tonga,302
SB,"August 2, 2021",5,0.00%,-82.79%,Solomon Islands,458
PW,"August 2, 2021",8,48.21%,-93.84%,Palau,166
PG,"August 2, 2021",1,-2.90%,50.09%,Papua New Guinea,40619
NR,"August 2, 2021",9,0.00%,-82.86%,Nauru,132
MH,"August 2, 2021",6,59.71%,-63.00%,Marshall Islands (the),444
FM,"August 2, 2021",4,-34.10%,-74.72%,Micronesia (Federated States of),634
FJ,"August 2, 2021",2,-0.18%,-86.19%,Fiji,4441
WS,"August 3, 2021",10,-93.71%,-99.26%,Samoa,38
VU,"August 3, 2021",3,0.90%,-60.68%,Vanuatu,2910
TO,"August 3, 2021",5,,-81.67%,Tonga,604
SB,"August 3, 2021",6,0.00%,-82.79%,Solomon Islands,458
PW,"August 3, 2021",8,48.21%,-93.39%,Palau,166
PG,"August 3, 2021",1,-5.43%,51.84%,Papua New Guinea,39747
NR,"August 3, 2021",9,0.00%,-82.86%,Nauru,132
MH,"August 3, 2021",7,59.71%,-58.66%,Marshall Islands (the),444
